DATE,INSTRUMENT TYPE,SYMBOL,EXPIRY DATE,STRIKE,OPTION TYPE,SETTLEMENT PRICE
28-AUG-2023,FUTSTK,APOLLOTYRE,31-AUG-2023,0,FF,391.8000000
28-AUG-2023,FUTSTK,APOLLOTYRE,28-SEP-2023,0,FF,393.4000000
28-AUG-2023,FUTSTK,APOLLOTYRE,26-OCT-2023,0,FF,395.0000000
28-AUG-2023,FUTSTK,ASHOKLEY,31-AUG-2023,0,FF,187.6000000
28-AUG-2023,FUTSTK,ASHOKLEY,28-SEP-2023,0,FF,188.3500000
28-AUG-2023,FUTSTK,ASHOKLEY,26-OCT-2023,0,FF,189.1500000
28-AUG-2023,FUTSTK,ASIANPAINT,31-AUG-2023,0,FF,3261.1500000
28-AUG-2023,FUTSTK,ASIANPAINT,28-SEP-2023,0,FF,3274.4500000
28-AUG-2023,FUTSTK,ASIANPAINT,26-OCT-2023,0,FF,3287.7500000
28-AUG-2023,FUTSTK,AUBANK,31-AUG-2023,0,FF,739.1500000
28-AUG-2023,FUTSTK,AUBANK,28-SEP-2023,0,FF,742.1500000
28-AUG-2023,FUTSTK,AUBANK,26-OCT-2023,0,FF,745.2000000
28-AUG-2023,FUTSTK,AUROPHARMA,31-AUG-2023,0,FF,829.3500000
28-AUG-2023,FUTSTK,AUROPHARMA,28-SEP-2023,0,FF,832.7000000
28-AUG-2023,FUTSTK,AUROPHARMA,26-OCT-2023,0,FF,836.1000000
28-AUG-2023,FUTSTK,AXISBANK,31-AUG-2023,0,FF,990.6500000
28-AUG-2023,FUTSTK,AXISBANK,28-SEP-2023,0,FF,994.7000000
28-AUG-2023,FUTSTK,AXISBANK,26-OCT-2023,0,FF,998.7500000
28-AUG-2023,FUTSTK,BAJAJ-AUTO,31-AUG-2023,0,FF,4602.4500000
28-AUG-2023,FUTSTK,BAJAJ-AUTO,28-SEP-2023,0,FF,4621.2500000
28-AUG-2023,FUTSTK,BAJAJ-AUTO,26-OCT-2023,0,FF,4640.0500000
28-AUG-2023,FUTSTK,BAJAJFINSV,31-AUG-2023,0,FF,1500.5500000
28-AUG-2023,FUTSTK,BAJAJFINSV,28-SEP-2023,0,FF,1506.7000000
28-AUG-2023,FUTSTK,BAJAJFINSV,26-OCT-2023,0,FF,1512.8500000
28-AUG-2023,FUTSTK,BAJFINANCE,31-AUG-2023,0,FF,7238.7500000
28-AUG-2023,FUTSTK,BAJFINANCE,28-SEP-2023,0,FF,7268.2500000
28-AUG-2023,FUTSTK,BAJFINANCE,26-OCT-2023,0,FF,7297.8500000
28-AUG-2023,FUTSTK,BALKRISIND,31-AUG-2023,0,FF,2365.1500000
28-AUG-2023,FUTSTK,BALKRISIND,28-SEP-2023,0,FF,2374.8000000
28-AUG-2023,FUTSTK,BALKRISIND,26-OCT-2023,0,FF,2384.4500000
28-AUG-2023,FUTSTK,BANDHANBNK,31-AUG-2023,0,FF,235.0000000
28-AUG-2023,FUTSTK,BANDHANBNK,28-SEP-2023,0,FF,236.0000000
28-AUG-2023,FUTSTK,BANDHANBNK,26-OCT-2023,0,FF,236.9500000
28-AUG-2023,FUTSTK,BANKBARODA,31-AUG-2023,0,FF,190.2500000
28-AUG-2023,FUTSTK,BANKBARODA,28-SEP-2023,0,FF,191.0500000
28-AUG-2023,FUTSTK,BANKBARODA,26-OCT-2023,0,FF,191.8000000
28-AUG-2023,FUTSTK,BATAINDIA,31-AUG-2023,0,FF,1694.7500000
28-AUG-2023,FUTSTK,BATAINDIA,28-SEP-2023,0,FF,1701.6500000
28-AUG-2023,FUTSTK,BATAINDIA,26-OCT-2023,0,FF,1708.6000000
28-AUG-2023,FUTSTK,BEL,31-AUG-2023,0,FF,135.0000000
28-AUG-2023,FUTSTK,BEL,28-SEP-2023,0,FF,135.5500000
28-AUG-2023,FUTSTK,BEL,26-OCT-2023,0,FF,136.1000000
28-AUG-2023,FUTSTK,BERGEPAINT,31-AUG-2023,0,FF,709.3500000
28-AUG-2023,FUTSTK,BERGEPAINT,28-SEP-2023,0,FF,712.2000000
28-AUG-2023,FUTSTK,BERGEPAINT,26-OCT-2023,0,FF,715.1000000
28-AUG-2023,FUTSTK,BHARATFORG,31-AUG-2023,0,FF,1049.7000000
28-AUG-2023,FUTSTK,BHARATFORG,28-SEP-2023,0,FF,1053.9500000
28-AUG-2023,FUTSTK,BHARATFORG,26-OCT-2023,0,FF,1058.2500000
28-AUG-2023,FUTSTK,BHARTIARTL,31-AUG-2023,0,FF,870.7500000
28-AUG-2023,FUTSTK,BHARTIARTL,28-SEP-2023,0,FF,874.3000000
28-AUG-2023,FUTSTK,BHARTIARTL,26-OCT-2023,0,FF,877.8500000
28-AUG-2023,FUTSTK,BHEL,31-AUG-2023,0,FF,109.6000000
28-AUG-2023,FUTSTK,BHEL,28-SEP-2023,0,FF,110.0500000
28-AUG-2023,FUTSTK,BHEL,26-OCT-2023,0,FF,110.5000000
28-AUG-2023,FUTSTK,BIOCON,31-AUG-2023,0,FF,260.0500000
28-AUG-2023,FUTSTK,BIOCON,28-SEP-2023,0,FF,261.1000000
28-AUG-2023,FUTSTK,BIOCON,26-OCT-2023,0,FF,262.1500000
28-AUG-2023,FUTSTK,BOSCHLTD,31-AUG-2023,0,FF,18538.9000000
28-AUG-2023,FUTSTK,BOSCHLTD,28-SEP-2023,0,FF,18614.4000000
28-AUG-2023,FUTSTK,BOSCHLTD,26-OCT-2023,0,FF,18690.2500000
28-AUG-2023,FUTSTK,BPCL,31-AUG-2023,0,FF,355.4500000
28-AUG-2023,FUTSTK,BPCL,28-SEP-2023,0,FF,356.9000000
28-AUG-2023,FUTSTK,BPCL,26-OCT-2023,0,FF,358.4000000
28-AUG-2023,FUTSTK,BRITANNIA,31-AUG-2023,0,FF,4512.9500000
28-AUG-2023,FUTSTK,BRITANNIA,28-SEP-2023,0,FF,4531.3000000
28-AUG-2023,FUTSTK,BRITANNIA,26-OCT-2023,0,FF,4549.8000000
28-AUG-2023,FUTSTK,CANBK,31-AUG-2023,0,FF,326.8000000
28-AUG-2023,FUTSTK,CANBK,28-SEP-2023,0,FF,328.1500000
28-AUG-2023,FUTSTK,CANBK,26-OCT-2023,0,FF,329.5000000
28-AUG-2023,FUTSTK,CHOLAFIN,31-AUG-2023,0,FF,1093.4500000
28-AUG-2023,FUTSTK,CHOLAFIN,28-SEP-2023,0,FF,1097.9000000
28-AUG-2023,FUTSTK,CHOLAFIN,26-OCT-2023,0,FF,1102.3500000
28-AUG-2023,FUTSTK,CIPLA,31-AUG-2023,0,FF,1229.4500000
28-AUG-2023,FUTSTK,CIPLA,28-SEP-2023,0,FF,1234.4500000
28-AUG-2023,FUTSTK,CIPLA,26-OCT-2023,0,FF,1239.5000000
28-AUG-2023,FUTSTK,COALINDIA,31-AUG-2023,0,FF,229.5500000
28-AUG-2023,FUTSTK,COALINDIA,28-SEP-2023,0,FF,230.5000000
28-AUG-2023,FUTSTK,COALINDIA,26-OCT-2023,0,FF,231.4500000
28-AUG-2023,FUTSTK,COFORGE,31-AUG-2023,0,FF,5174.1500000
28-AUG-2023,FUTSTK,COFORGE,28-SEP-2023,0,FF,5195.2500000
28-AUG-2023,FUTSTK,COFORGE,26-OCT-2023,0,FF,5216.4000000
28-AUG-2023,FUTSTK,COLPAL,31-AUG-2023,0,FF,1936.6500000
28-AUG-2023,FUTSTK,COLPAL,28-SEP-2023,0,FF,1944.5500000
28-AUG-2023,FUTSTK,COLPAL,26-OCT-2023,0,FF,1952.5000000
28-AUG-2023,FUTSTK,CONCOR,31-AUG-2023,0,FF,664.4000000
28-AUG-2023,FUTSTK,CONCOR,28-SEP-2023,0,FF,667.1000000
28-AUG-2023,FUTSTK,CONCOR,26-OCT-2023,0,FF,669.8500000
28-AUG-2023,FUTSTK,CUB,31-AUG-2023,0,FF,124.7000000
28-AUG-2023,FUTSTK,CUB,28-SEP-2023,0,FF,125.2500000
28-AUG-2023,FUTSTK,CUB,26-OCT-2023,0,FF,125.7500000
28-AUG-2023,FUTSTK,CUMMINSIND,31-AUG-2023,0,FF,1718.6500000
28-AUG-2023,FUTSTK,CUMMINSIND,28-SEP-2023,0,FF,1725.6500000
28-AUG-2023,FUTSTK,CUMMINSIND,26-OCT-2023,0,FF,1732.7000000
28-AUG-2023,FUTSTK,DABUR,31-AUG-2023,0,FF,554.4000000
28-AUG-2023,FUTSTK,DABUR,28-SEP-2023,0,FF,556.6500000
28-AUG-2023,FUTSTK,DABUR,26-OCT-2023,0,FF,558.9500000
28-AUG-2023,FUTSTK,DEEPAKNTR,31-AUG-2023,0,FF,2039.4500000
28-AUG-2023,FUTSTK,DEEPAKNTR,28-SEP-2023,0,FF,2047.7500000
